credit_card,stud_loan,medical_exp,employment,income,marital_status,auto_insurance,children,age,gender,housing,health_status,work_hours,social_security
1,5,5,50.4,74100,4,183,2,25,2,1,2,40,5
0,5,5,51.0,68600,1,250,0,48,1,5,1,50,5
0,5,5,46.0,6000,5,0,0,55,1,1,3,35,5
0,1,5,0.0,35085,3,2075,0,86,1,1,3,0,1
0,5,5,0.0,65048,3,2700,0,83,1,1,2,0,1
1,1,5,0.0,59188,1,130,1,37,1,1,5,0,1
0,5,5,0.0,48780,3,1100,0,60,2,1,4,0,1
0,5,5,44.7,18000,2,999999,0,51,2,1,3,40,5
0,5,5,0.0,16848,3,43,0,79,2,1,3,0,1
0,5,5,3.0,10422,3,860,0,72,1,5,3,5,1
1,5,5,49.0,209100,1,2500,0,59,1,1,1,40,5
0,5,5,39.0,30000,4,0,0,59,1,8,4,48,5
0,5,5,0.0,26124,1,50,0,88,1,1,3,0,1
0,5,5,44.7,19050,4,1200,3,34,1,1,4,40,5
1,5,1,37.6,32260,2,0,0,57,1,5,2,10,1
0,5,5,0.0,8808,2,0,1,60,2,5,3,0,1
0,5,5,0.0,43800,4,635,0,68,1,1,4,0,1
0,1,5,52.0,105000,1,120,1,63,1,1,4,40,5
1,1,5,44.0,101729,1,140,0,63,1,1,2,2,5
0,1,5,0.0,66800,4,1200,0,32,1,1,3,0,1
0,5,5,52.0,19000,4,130,0,60,2,5,1,30,5
0,5,5,46.8,223000,1,1000,0,54,1,1,2,60,1
1,5,5,0.0,11840,3,0,0,97,2,8,5,0,1
0,5,5,0.0,15260,4,49,0,69,1,5,5,0,5
1,5,5,49.4,114100,1,1200,1,31,1,1,2,45,5
0,5,5,0.0,60500,3,78,0,71,2,1,2,0,1
0,5,5,0.0,19500,4,100,2,59,1,1,4,0,1
1,5,5,50.0,101024,1,187,0,44,1,1,2,63,5
0,1,5,47.0,62130,1,115,2,30,1,1,3,40,5
0,5,5,48.0,66500,1,230,0,27,1,5,2,40,5
0,1,5,47.8,102500,2,336,2,43,2,5,2,50,5
1,1,5,44.7,80200,1,130,0,64,1,1,2,8,1
0,5,5,52.0,15020,1,125,1,43,1,5,2,40,5
1,5,5,0.0,30576,3,800,0,68,2,1,2,0,1
1,1,5,50.0,130000,4,300,0,44,2,5,2,40,5
1,5,5,49.0,152010,1,800,0,54,1,1,2,50,5
0,5,5,35.0,1860,4,0,1,44,2,5,4,40,5
0,5,5,16.0,24000,1,65,2,29,1,5,2,40,5
0,5,5,0.0,64698,2,0,1,52,1,5,4,0,5
0,5,5,48.0,126367,1,117,0,57,1,1,3,45,5
1,1,5,47.0,324896,1,0,0,56,1,1,2,45,5
0,5,5,0.0,5650,2,0,1,55,2,5,4,0,5
0,5,5,18.7,9964,2,110,0,62,2,5,4,6,5
1,1,5,48.8,130360,1,2000,0,36,1,1,1,40,5
0,1,5,48.0,60606,1,800,2,36,1,1,1,50,5
0,5,5,50.0,86050,1,2000,0,66,1,1,3,66,5
0,5,5,52.0,16340,3,0,0,61,2,5,5,10,1
1,5,5,52.0,17000,1,0,0,51,1,5,1,40,5
1,1,5,50.0,37000,1,184,1,22,1,1,1,40,5
1,5,1,1.0,62730,1,1000,0,52,1,1,5,40,1
1,5,5,48.0,70016,1,95,0,60,1,1,3,40,5
0,5,5,0.0,26440,2,0,0,57,2,8,3,0,5
0,5,5,0.0,20900,1,1700,0,78,1,8,4,0,1
1,5,5,0.0,22450,4,450,0,72,2,1,3,0,1
0,5,5,51.0,11000,1,200,2,45,1,1,4,40,5
0,5,5,6.0,8940,2,0,0,53,1,5,4,10,1
1,5,5,0.0,13352,3,0,0,85,2,8,2,0,1
0,5,5,0.0,77161,1,1100,0,81,1,1,2,0,1
0,5,5,0.0,21151,1,800,0,85,1,1,4,0,1
0,5,5,10.0,99350,1,2200,0,54,1,1,3,48,5
1,5,5,0.0,105010,1,2000,1,49,1,1,2,0,5
0,5,5,0.0,10200,5,0,0,63,2,5,4,0,1
1,5,1,12.0,24781,5,122,0,57,2,1,5,40,5
0,5,5,0.0,19881,3,392,0,83,2,5,3,0,1
0,5,5,1.0,93,2,0,0,40,1,8,4,5,5
0,5,5,0.0,31500,1,850,0,69,1,1,3,0,1
0,5,5,48.6,33673,4,1200,0,60,1,1,4,40,5
1,5,5,0.0,25935,1,800,0,78,1,1,5,0,1
0,1,5,52.0,90433,1,1000,3,42,1,1,1,40,5
0,5,5,52.0,156000,1,100,2,31,1,1,2,40,5
0,5,5,0.0,16542,3,256,0,68,1,1,4,0,1
0,5,5,0.0,45116,1,121,0,71,1,1,2,0,1
0,5,5,33.0,154663,4,73,0,66,1,1,3,40,5
1,5,5,0.0,233000,1,350,2,41,1,5,3,0,5
0,5,5,49.0,16000,4,60,0,58,1,1,3,40,5
0,5,5,0.0,66500,1,1100,0,83,1,1,3,0,1
0,5,5,0.0,43050,1,800,0,79,1,1,2,0,1
1,5,5,50.0,86020,1,800,0,56,1,1,2,40,5
0,1,5,52.0,28368,2,0,2,33,2,5,3,80,1
0,1,5,46.7,15700,5,0,0,52,2,5,4,30,5
0,5,5,0.0,18462,4,0,0,84,2,1,3,0,1
0,5,5,0.0,14056,1,65,0,84,1,1,3,0,1
0,5,5,0.0,27040,1,800,0,99,1,1,5,0,1
1,5,5,0.0,17040,4,800,0,62,2,1,3,0,1
0,5,5,32.7,48590,1,150,0,64,1,5,5,55,5
0,5,5,3.0,93482,1,1200,0,68,1,1,2,14,1
0,5,5,14.4,24000,4,0,0,48,1,5,3,40,5
1,5,1,48.0,52409,4,900,2,42,2,5,2,33,5
0,5,5,0.0,28872,1,1100,0,84,1,1,3,0,1
0,1,5,52.0,233100,1,250,1,40,1,1,2,30,5
0,5,5,0.0,61140,1,1800,0,78,1,1,5,0,1
1,5,5,0.0,36960,1,1100,0,74,1,1,3,0,1
0,5,5,51.0,28000,2,0,0,33,1,5,1,40,5
1,5,5,0.0,21225,1,1000,0,83,1,1,2,0,1
0,5,5,0.0,45815,1,1200,0,82,1,1,2,0,1
0,5,5,0.0,50533,1,1100,0,79,1,1,3,0,1
1,5,5,0.0,49178,1,2500,0,60,1,1,1,0,5
0,1,5,52.0,15878,1,0,0,34,2,5,1,40,5
0,5,5,0.0,39700,1,1200,0,86,1,1,1,0,5
0,5,5,0.0,33794,3,720,0,81,2,1,5,0,1
0,5,5,0.0,6000,2,0,0,49,1,8,4,0,5
0,5,5,0.0,17760,4,0,0,60,1,5,4,0,1
0,5,5,37.5,42500,1,1200,2,27,1,8,1,30,5
1,5,1,0.0,9700,2,73,3,55,1,1,3,0,5
0,5,5,0.0,0,4,67,0,79,2,1,3,0,5
0,5,5,51.6,91378,2,70,1,29,1,5,3,32,5
0,1,5,0.0,16920,4,53,0,57,2,5,3,0,1
0,1,5,38.0,23093,1,0,3,31,1,5,3,96,5
0,5,5,0.0,28620,3,2000,0,80,2,1,3,0,1
0,5,5,0.0,850,4,0,0,80,2,1,2,0,1
1,5,5,47.4,144000,1,275,0,52,1,1,3,40,5
1,5,5,51.2,72000,1,150,1,32,1,1,3,45,5
0,5,5,52.0,14000,2,0,2,43,2,5,4,32,5
0,5,5,37.0,76100,1,350,0,62,1,1,3,30,5
0,5,5,50.0,99000,1,230,1,40,1,5,2,40,5
1,1,5,50.0,85050,1,90,2,28,1,1,1,50,5
0,5,5,0.0,26503,3,50,0,84,2,1,4,0,1
1,5,5,44.7,70026,1,200,2,26,1,1,1,40,5
0,5,5,51.2,35550,1,311,3,29,1,5,3,40,5
0,5,5,0.0,26425,3,0,0,94,2,1,3,0,1
1,5,5,50.6,69505,2,140,0,53,2,5,4,50,5
1,5,5,49.0,58375,2,42,0,50,2,1,3,45,5
1,5,5,52.0,31400,2,400,0,65,2,1,1,1,5
0,5,5,50.4,50000,1,2000,1,62,1,5,1,73,5
0,5,5,0.0,11866,5,0,0,61,2,5,2,0,5
0,5,5,0.7,12098,2,0,1,37,2,5,3,0,5
1,1,5,0.0,500,2,0,0,29,1,5,1,0,5
1,5,5,51.0,66000,2,120,0,25,2,5,4,45,5
1,5,5,0.0,26150,3,0,0,80,2,1,4,0,5
0,5,5,0.0,0,2,0,0,24,1,8,3,0,5
0,5,5,52.0,7200,1,0,3,29,1,5,1,40,5
0,5,5,51.0,117100,1,2500,0,50,1,1,2,40,5
0,5,5,52.0,35000,1,100,2,39,1,5,2,50,5
0,5,5,43.0,132310,2,150,0,33,2,5,3,40,5
0,5,5,47.2,26704,1,127,0,48,1,1,2,40,5
0,5,5,49.8,207006,1,3200,0,67,1,1,2,50,1
1,5,5,49.0,34100,1,2000,0,52,1,1,5,40,5
1,5,5,39.0,17268,4,84,0,60,2,1,3,30,1
0,5,5,43.0,45245,3,999999,0,72,2,1,2,20,1
1,5,5,52.0,49021,1,150,0,60,1,1,3,38,5
0,5,5,48.0,26700,2,90,2,31,1,5,4,40,5
0,1,1,0.0,10260,5,0,0,60,1,5,2,0,5
0,5,5,50.0,60910,1,71,1,49,1,5,2,40,1
0,5,5,0.0,1300,5,0,0,56,2,8,5,0,5
0,5,5,0.0,9958,4,163,2,35,2,5,2,0,5
0,5,5,38.0,97050,4,1200,1,50,2,5,4,40,5
1,5,5,47.0,77036,1,40,0,63,1,1,3,12,1
0,5,5,0.0,16380,3,280,1,58,2,1,5,0,1
0,5,5,0.0,22032,1,67,0,88,1,5,3,0,1
0,1,5,51.0,35241,4,75,1,43,2,5,2,40,5
1,5,5,50.0,71000,1,100,0,61,1,1,3,40,5
1,5,5,0.0,58152,1,1600,0,64,1,1,3,0,5
1,5,5,0.0,97802,4,1200,0,73,1,1,4,0,1
0,5,5,52.0,30000,4,110,0,54,2,1,3,40,5
1,5,5,0.0,27402,1,0,0,59,1,5,3,0,5
0,5,5,0.0,0,2,0,0,28,1,5,2,0,5
1,1,1,50.8,101575,4,265,0,61,2,1,4,42,5
0,5,5,44.0,243075,1,100,1,44,1,1,3,50,5
0,5,5,48.6,11000,4,200,0,61,2,5,3,26,5
0,5,5,48.0,40000,4,70,0,55,2,5,1,40,5
1,5,5,52.0,50000,1,650,0,61,1,1,1,44,5
1,5,5,47.6,68000,2,850,0,62,2,1,3,42,5
1,5,1,42.3,15355,1,200,1,49,1,1,3,20,5
0,5,5,52.0,45400,2,160,2,38,1,5,2,35,5
0,5,5,46.0,58000,2,0,0,30,2,5,1,65,5
0,5,5,3.0,25655,1,1425,0,67,1,1,2,10,1
1,1,5,50.6,62000,1,227,0,29,1,5,1,50,5
1,5,5,0.0,32720,3,70,0,74,2,1,2,0,1
1,5,1,52.0,40330,1,1800,0,60,1,1,3,20,5
0,5,5,51.0,45000,2,136,0,25,1,5,1,80,5
0,5,5,0.0,96781,1,2800,0,53,1,1,2,0,1
1,5,5,50.4,45010,2,100,0,27,1,5,2,40,5
1,1,5,49.0,94000,1,160,1,33,1,5,2,45,5
1,5,1,47.4,91000,1,140,0,47,1,1,1,50,5
0,5,1,9.8,7200,2,0,0,30,1,5,3,40,5
0,5,1,13.4,31383,2,30,0,42,1,5,2,35,5
0,5,5,0.0,75624,1,2100,0,60,1,1,2,0,5
1,5,1,48.0,55497,4,1500,0,76,1,1,4,20,1
1,5,5,52.0,230475,1,4100,0,59,1,1,2,80,5
1,1,5,50.8,63000,1,169,0,41,1,5,4,35,1
1,1,1,48.0,46152,2,168,1,31,2,1,2,27,5
0,1,5,40.0,84100,1,1400,2,32,1,1,1,50,5
0,5,5,0.0,36580,4,2400,0,74,2,5,3,0,1
1,1,5,51.0,49881,2,0,1,26,2,5,4,40,1
0,5,5,0.0,27602,4,0,0,54,1,5,4,0,1
0,5,5,0.0,83016,1,1600,0,65,1,1,4,0,1
0,1,5,0.0,60600,1,1000,2,30,1,1,3,0,5
0,5,1,52.0,9300,2,0,0,35,2,5,2,46,5
0,5,5,51.0,28018,2,82,1,23,2,5,3,40,5
0,5,5,0.0,12408,2,0,2,38,2,8,2,0,1
1,5,5,50.0,145565,1,470,0,60,1,1,3,48,5
0,5,5,0.0,24680,3,1600,0,69,2,1,2,0,1
0,5,1,52.0,8976,1,70,2,39,1,5,2,25,1
0,5,1,48.0,67696,1,111,0,63,1,1,3,65,5
1,1,5,51.0,42950,2,130,0,31,2,5,2,55,5
0,5,5,0.0,73075,1,2400,0,77,1,1,3,0,1
0,1,5,49.0,30120,1,100,0,24,1,5,2,40,5
1,1,5,51.0,110930,1,103,0,56,1,1,2,45,5
0,5,5,13.0,78010,2,0,0,60,1,5,3,35,5
1,5,5,49.2,91020,1,2000,0,55,1,1,3,50,5
1,5,5,42.0,224100,1,120,1,45,1,5,2,30,5
0,1,5,48.0,21000,2,125,1,24,1,5,1,48,5
1,5,5,26.0,27684,3,58,0,60,2,1,4,40,5
1,5,5,51.4,22000,2,100,2,24,1,5,3,36,5
1,1,5,48.0,85050,1,1934,1,32,1,5,2,40,5
0,5,5,26.0,43323,1,1165,0,76,1,1,5,10,1
0,5,5,52.0,62800,1,2100,2,38,1,1,2,40,5
0,1,5,51.6,97559,1,1800,1,41,1,1,2,50,5
0,5,5,0.0,8640,2,0,0,59,2,8,3,0,1
1,5,5,0.0,32216,1,150,0,64,1,5,2,0,5
0,5,5,7.7,17941,4,90,0,59,2,5,3,40,5
0,5,5,47.0,64396,1,1600,1,33,1,1,3,40,5
0,5,5,51.8,15000,4,135,0,52,2,8,2,26,5
0,1,5,51.0,8400,4,31,0,52,2,5,4,40,5
0,5,5,0.0,21736,1,2100,0,76,1,1,3,0,1
1,5,5,0.0,26946,1,888,0,59,1,1,1,0,1
0,1,5,0.0,11810,3,0,2,60,2,5,2,0,5
0,5,5,45.8,31300,1,70,0,43,1,1,2,40,5
0,5,5,0.0,208656,1,3100,0,75,1,1,3,0,1
0,5,5,0.0,8136,2,129,0,51,2,1,4,0,5
1,5,5,0.0,47800,1,1000,0,59,1,1,3,0,1
0,5,5,45.1,214010,1,999998,2,42,1,1,1,50,5
0,5,5,48.4,76050,2,452,0,45,2,1,3,50,5
1,5,5,52.0,21100,2,96,0,58,2,1,3,25,5
0,5,5,26.7,11500,2,0,3,29,2,8,2,35,5
1,5,1,0.0,27506,2,140,0,50,1,1,4,0,1
0,5,5,24.0,21864,1,700,0,69,1,1,4,6,1
0,5,5,0.0,40000,2,115,0,75,2,1,1,0,5
0,5,5,8.0,4665,2,0,0,61,1,8,3,40,1
1,5,5,39.0,24700,1,160,0,62,1,1,3,14,1
0,5,5,0.0,710,4,0,4,62,2,5,4,0,1
0,5,5,0.0,66965,1,1900,0,57,1,1,3,0,1
0,5,5,0.0,39000,1,800,0,86,1,1,3,0,1
0,5,5,0.0,72426,3,999999,0,82,2,1,1,0,1
1,5,5,48.0,101784,1,126,0,49,1,1,2,45,5
1,1,5,0.0,69994,1,1820,0,58,1,1,2,0,1
0,5,5,49.0,22500,4,150,0,47,2,5,3,40,5
1,5,5,0.0,42312,1,700,0,69,1,5,4,0,1
1,5,5,0.0,6838,4,1000,0,69,2,1,2,0,1
0,5,5,0.0,28420,4,530,0,63,1,1,5,0,1
1,5,5,0.0,75259,1,145,0,64,1,1,3,0,1
0,5,5,0.0,5548,4,400,0,90,2,5,3,0,1
1,5,5,33.0,43100,4,60,0,52,1,5,1,36,5
0,5,5,52.0,18000,4,3500,1,48,2,1,3,35,5
0,5,5,0.0,38784,1,1100,0,68,1,1,2,0,1
0,5,5,31.7,21652,2,97,2,25,2,5,3,20,1
0,5,5,0.0,165846,3,0,0,100,2,5,4,0,1
0,5,1,3.8,2175,2,0,0,22,2,8,4,48,5
0,5,5,0.0,31804,1,495,0,79,1,1,5,0,1
0,5,5,52.0,6500,2,0,1,23,2,8,2,38,5
0,5,5,33.6,19802,2,0,4,35,2,5,4,35,5
1,1,5,0.0,43315,3,600,0,83,2,5,2,0,1
0,5,5,0.0,38061,3,915,0,69,2,1,2,0,1
1,5,5,50.0,36250,2,120,0,26,1,5,1,45,5
1,5,5,0.0,49701,3,68,0,67,2,1,2,0,1
0,5,5,0.0,3564,2,0,1,48,2,8,5,0,5
0,5,1,0.0,28920,1,0,0,66,1,1,5,0,5
0,5,5,0.0,117000,1,1700,0,68,1,1,2,0,1
1,5,5,0.0,120600,1,1800,0,62,1,1,2,0,5
0,5,5,49.0,75156,5,0,0,56,2,5,4,40,5
0,5,5,12.0,46119,4,0,1,63,2,1,2,15,1
0,1,5,50.6,73020,1,1200,0,25,1,1,1,40,5
0,5,5,17.1,12433,2,0,0,65,2,5,2,36,1
0,5,5,51.6,23878,2,0,1,54,2,5,3,40,5
0,5,5,52.0,33578,2,0,0,48,2,5,1,46,5
0,5,5,0.0,95010,4,200,0,67,1,1,4,0,1
0,5,5,0.0,0,1,0,2,30,1,5,4,0,5
0,5,5,52.0,37601,2,1020,0,67,1,5,2,39,5
0,5,5,0.0,7020,2,0,0,36,1,5,4,0,1
0,1,5,39.3,29779,4,200,0,48,1,5,2,40,5
0,5,1,0.0,28420,1,105,1,42,1,5,3,0,5
0,5,5,0.0,36923,3,812,0,79,2,1,1,0,1
0,5,5,0.0,70538,1,1280,0,79,1,1,3,0,1
0,5,5,48.0,55050,4,36,0,39,1,5,2,45,5
1,5,5,52.0,98000,1,980,0,37,1,1,1,45,5
0,1,5,0.0,8352,4,0,0,56,2,5,5,0,1
0,5,5,52.0,24280,2,0,0,28,2,5,2,50,5
0,5,5,0.0,6492,4,201,1,52,2,1,3,0,5
0,5,5,52.0,110612,4,1476,0,59,1,1,3,37,5
1,5,5,52.0,71870,1,1300,0,50,1,1,3,45,5
0,5,5,0.0,56864,1,1200,0,78,1,1,3,0,1
1,5,5,50.4,75200,1,900,2,38,1,1,2,45,5
1,5,5,46.4,144441,5,1200,1,65,2,1,2,40,5
0,5,5,51.0,30000,2,200,2,34,1,5,2,45,5
0,5,5,50.6,33635,4,960,0,45,1,1,3,45,5
0,1,5,46.8,146100,1,1000,1,33,1,1,2,42,5
0,5,5,51.0,58020,4,200,0,44,1,5,3,60,5
0,5,5,0.0,60475,1,999998,0,70,1,1,3,0,1
1,5,5,49.0,68000,4,165,1,35,2,1,2,40,5
0,1,5,12.0,177100,1,1500,2,37,1,1,1,2,5
0,5,5,50.0,31090,3,726,0,58,2,1,2,40,1
0,5,5,0.0,57000,1,2000,0,70,1,1,3,0,1
1,5,5,50.0,82014,1,1000,0,53,1,1,2,32,5
0,5,5,0.0,28500,4,112,2,49,2,5,5,0,1
0,5,1,52.0,57000,1,89,0,57,1,5,2,40,5
0,5,5,52.0,191000,1,2600,0,67,1,1,1,16,1
0,5,5,0.0,29920,1,1200,0,67,1,1,4,0,1
1,8,8,37.6,29578,5,999998,3,57,1,1,8,9,5
0,5,5,51.0,59000,1,600,0,62,1,1,3,34,5
1,1,5,51.0,68150,2,400,0,27,1,5,2,50,5
0,5,5,50.2,20018,2,600,0,56,1,8,4,40,5
0,5,1,10.0,8676,4,0,1,42,2,5,4,20,5
0,5,5,50.0,38050,4,95,0,43,2,1,1,40,5
0,1,5,25.0,260300,1,920,0,61,1,1,3,50,5
1,1,1,49.2,142022,1,999998,1,40,1,1,1,60,5
1,5,5,48.0,183000,4,480,0,62,1,1,3,40,5
0,5,5,52.0,9000,2,0,0,50,2,5,2,36,5
1,5,5,0.0,135250,1,200,0,61,1,1,2,0,5
0,5,5,7.0,144000,1,1500,0,63,1,1,2,40,5
1,5,5,1.0,42025,3,128,0,79,2,1,3,47,1
0,5,5,17.0,21568,2,0,1,38,1,5,5,10,5
1,1,5,45.0,281010,1,1200,2,33,1,1,2,50,5
0,5,5,11.0,22146,1,1900,2,31,1,1,1,50,5
1,5,5,0.0,32747,3,1,0,77,1,1,2,0,1
0,1,5,52.0,48650,1,640,1,30,1,8,2,70,5
0,5,5,41.7,5090,5,102,3,28,2,5,4,39,5
0,5,5,0.0,864,5,0,0,57,2,8,1,0,5
1,5,5,0.0,81828,1,272,0,70,1,1,4,0,1
0,5,5,0.0,37800,3,1800,0,81,2,1,3,0,1
0,5,5,52.0,47527,1,1000,0,72,1,1,3,10,1
0,5,5,3.4,72210,1,999998,0,74,1,1,5,20,1
0,5,5,0.0,36600,1,0,0,91,1,1,5,0,1
0,5,5,0.0,35100,3,820,0,79,2,1,3,0,1
1,5,5,0.0,25225,3,1298,0,79,2,1,3,0,1
0,5,5,50.0,102000,1,85,0,52,1,1,4,40,5
1,1,5,50.0,24000,2,73,0,28,1,5,1,40,5
0,5,5,0.0,16609,3,550,0,79,2,1,3,0,1
0,5,5,0.0,21288,1,0,0,62,2,1,4,0,1
0,5,5,0.0,12904,1,280,0,65,1,1,5,0,1
0,5,5,52.0,14000,5,79,0,55,2,5,3,35,5
1,5,5,42.7,15555,2,183,1,23,2,5,2,20,5
0,5,5,0.0,29800,3,28,0,86,2,1,2,0,1
0,5,5,13.0,12400,2,50,0,54,2,5,3,30,5
0,5,5,20.0,6600,2,0,3,27,2,5,3,30,5
0,5,5,0.0,18254,3,0,0,78,1,5,3,0,1
1,5,5,0.0,43850,3,410,0,51,2,1,5,0,1
0,5,5,49.2,115000,1,745,0,67,1,1,1,50,5
0,5,5,0.0,8268,4,0,0,65,2,5,5,0,5
0,5,5,0.0,27610,2,200,4,40,1,1,4,0,1
1,5,5,0.0,108950,1,700,0,72,1,1,1,0,1
0,5,5,23.8,21696,5,40,0,47,2,5,4,48,1
0,5,5,0.0,8376,2,0,0,56,2,5,4,0,5
0,5,5,0.7,57578,2,89,3,56,2,5,4,0,5
0,5,5,0.0,17800,1,1200,0,77,1,1,2,0,1
0,5,5,49.0,114736,1,400,0,65,1,1,3,6,1
0,5,1,52.0,8000,2,60,1,40,2,5,2,25,5
0,5,5,0.0,38940,3,80,0,55,1,5,4,0,5
0,5,5,0.0,8526,3,0,0,52,2,1,4,0,5
1,5,5,0.0,13226,1,34,0,64,1,1,3,0,1
0,5,5,0.0,79988,1,600,0,64,1,1,2,0,1
1,5,5,0.0,35280,4,38,0,72,1,1,4,0,1
1,5,5,0.0,23328,1,192,0,73,1,1,4,0,1
1,5,5,27.0,79736,4,205,0,63,2,5,2,28,5
0,5,5,51.0,34800,1,200,0,54,1,1,1,35,5
0,5,5,4.0,21300,4,800,0,55,1,5,3,20,1
0,1,5,17.4,59503,4,1212,0,64,1,5,4,50,5
